Tempo.mus;Voltagio.V;RC;;;;;;
-118;-5.6;3 e 3;;;;;;
-100;-4.6;3 e 3;;;;;;
-90;-4;3 e 3;;;;;;
-80;-3.4;3 e 3;;;;;1320ms;11.7V
-70;-2.88;3 e 3;;;;;;
-60;-2.3;3 e 3;;;;;;
-50;-1.9;3 e 3;;;;;;
-40;-1.3;3 e 3;;;;;;
-30;-1;3 e 3;;;;;;
-20;-0.5;3 e 3;;;;;;
-10;-0.2;3 e 3;;;;;;
0;0.1;3 e 3;;;;;;
10;0.55;3 e 3;;;;;;
20;0.8;3 e 3;;;;;;
30;1.12;3 e 3;;;;;;
40;1.35;3 e 3;;;;;;
50;1.6;3 e 3;;;;;;
60;1.92;3 e 3;;;;;;
70;2.15;3 e 3;;;;;;
80;2.3;3 e 3;;;;;;
90;2.55;3 e 3;;;;;;
100;2.72;3 e 3;;;;;;
110;2.96;3 e 3;;;;;;
120;3.12;3 e 3;;;;;;
130;3.28;3 e 3;;;;;;
140;3.44;3 e 3;;;;;;
150;3.52;3 e 3;;;;;;
160;3.68;3 e 3;;;;;;
170;3.84;3 e 3;;;;;;
180;3.92;3 e 3;;;;;;
190;4;3 e 3;;;;;;
200;4.16;3 e 3;;;;;;
210;4.32;3 e 3;;;;;;
220;4.32;3 e 3;;;;;;
230;4.4;3 e 3;;;;;;
240;4.48;3 e 3;;;;;;
250;4.56;3 e 3;;;;;;
260;4.64;3 e 3;;;;;;
270;4.72;3 e 3;;;;;;
280;4.72;3 e 3;;;;;;
290;4.8;3 e 3;;;;;;
300;4.88;3 e 3;;;;;;
310;4.88;3 e 3;;;;;;
320;5.04;3 e 3;;;;;;
330;5.04;3 e 3;;;;;;
340;5.04;3 e 3;;;;;;
350;5.12;3 e 3;;;;;;
360;5.12;3 e 3;;;;;;
370;5.12;3 e 3;;;;;;
380;5.2;3 e 3;;;;;;
390;5.28;3 e 3;;;;;;
400;5.28;3 e 3;;;;;;
410;5.36;3 e 3;;;;;;
420;5.36;3 e 3;;;;;;
430;5.36;3 e 3;;;;;;
440;5.36;3 e 3;;;;;;
450;5.44;3 e 3;;;;;;
460;5.44;3 e 3;;;;;;
470;5.44;3 e 3;;;;;;
550;5.52;3 e 3;;;;;;
600;5.6;3 e 3;;;;;;
700;5.68;3 e 3;;;;;;
800;5.68;3 e 3;;;;;;
;;;;;;;;
-118;5.76;descarica1;;;;;;
-68;3.2;descarica1;;;;;;
-18;0.72;descarica1;;;;;;
32;-1.04;descarica1;;;;;;
82;-2.32;descarica1;;;;;;
132;-3.36;descarica1;;;;;;
182;-4;descarica1;;;;;;
232;-4.48;descarica1;;;;;;
282;-4.8;descarica1;;;;;;
332;-5.2;descarica1;;;;;;
382;-5.28;descarica1;;;;;;
432;-5.44;descarica1;;;;;;
482;-5.52;descarica1;;;;;;
532;-5.68;descarica1;;;;;;
582;-5.68;descarica1;;;;;;
