Tempo;Voltagio;Voltagio positivo;Voltagio log
6,5;60;60;1,77
13;-56;56;1,74
19,5;52;52;1,71
26;-48;48;1,68
32,5;44,8;44,8;1,65
39;-41,6;41,6;1,61
45,5;37,6;37,6;1,57
52;-35,2;35,2;1,54
58,5;32,8;32,8;1,51
65;-30,4;30,4;1,48
71,5;28;28;1,44
78;-26,4;26,4;1,42
84,5;24;24;1,38
91;-21,6;21,6;1,33
97,5;20,8;20,8;1,31
104;-18,4;18,4;1,26
110,5;17,6;17,6;1,24
117;-16;16;1,2
123,5;15,2;15,2;1,18
130;-13,6;13,6;1,13
136,5;12,8;12,8;1,1
143;-12;12;1,07
149,5;11,2;11,2;1,04
156;-10,4;10,4;1,01
162,5;9,6;9,6;0,98
169;-8,8;8,8;0,94
175,5;8;8;0,9
182;-7,2;7,2;0,85
188,5;6,4;6,4;0,8
195;-5,6;5,6;0,74
201,5;4,8;4,8;0,68
208;-4;4;0,6
