Frecuenza (kHz);Frecuenzia Normalizata;Ampiezza(V);Fase(ns);Periodo;
0.0625;1;54.8;3.8;16;
0.0591715976331361;0.946745562130178;21.6;1;16.9;
0.0520833333333333;0.833333333333333;12;0.7;19.2;
0.0473933649289099;0.758293838862559;8.8;0.5;21.1;
0.062111801242236;0.993788819875776;51.2;3.9;16.1;
0.0677966101694915;1.08;16;5.48;14.75;
0.072463768115942;1.15;8.4;6.5;13.8;
0.0636942675159236;1.01;39.6;5.7;15.7;
0.0638977635782748;1.02;33.6;6.1;15.65;
0.0655737704918033;1.04;22;5.51;15.25;
0.066006600660066;1.05;19.2;6.5;15.15;
0.060790273556231;0.972644376899696;50;2.65;16.45;
0.0604229607250755;0.966767371601208;44.4;2.4;16.55;
0.0578034682080925;0.92485549132948;22;0.95;17.3;
0.0547945205479452;0.876712328767123;15.2;0.75;18.25;
0.0552486187845304;0.883977900552486;14;0.6;18.1;
0.0536193029490617;0.857908847184987;12.8;0.5;18.65;
0.0475059382422803;0.760095011876485;8.8;0.4;21.05;
0.0431034482758621;0.689655172413793;6.76;0.3;23.2;
