Distanza(cm);Bx(mT);Bz(mT)
1;-160.1;44.5
2;-85.7;23.5
3;-58.6;12.1
4;-38.1;5.05
5;-26.4;2.09
6;-17.91;0.67
7;-14.37;0.25
8;-10.51;0.2
9;-8.29;0.13
10;-6.9;0.14
11;-5.45;0.16
12;-4.56;0.15
13;-3.77;0.15
14;-3.14;0.12
15;-2.64;0.11
16;-2.34;0.1
17;-2;0.09
18;-1.81;0.07
19;-1.58;0.06
20;-1.23;0.04
21;-1.09;0.03
22;-0.98;0.02
23;-0.88;0.01
24;-0.8;0
25;-0.74;0
26;-0.67;0
27;-0.6;0
28;-0.56;0
29;-0.52;0
30;-0.47;0
31;-0.44;0
32;-0.41;0
33;-0.38;0
34;-0.35;0
35;-0.33;0
36;-0.31;0
37;-0.29;0
38;-0.28;0
39;-0.25;0
40;-0.24;0
41;-0.23;0
42;-0.22;0
43;-0.21;0
44;-0.19;0
45;-0.19;0
46;-0.18;0
47;-0.17;0
48;-0.16;0
49;-0.15;0
50;-0.14;0
51;-0.13;0
52;-0.12;0
53;-0.11;0
