Corrente(A);Imantato;Pair;Senso;Voltagio(Vm)
8;No;54;Inv;-9.268
8;No;54;Norm;9.11
8;No;52;Inv;-18.15
8;No;52;Norm;18.07
8;No;32;Inv;-9.001
8;No;32;Norm;9.036
8;No;34;Inv;-0.022
8;No;34;Norm;0.024
8;No;14;Inv;-8.922
8;No;14;Norm;8.951
8;No;12;Inv;-0.065
8;No;12;Norm;0.071
6;No;54;Inv;-6.777
6;No;54;Norm;6.771
6;No;52;Inv;-13.38
6;No;52;Norm;13.409
6;No;32;Inv;-6.661
6;No;32;Norm;6.65
6;No;34;Inv;-0.013
6;No;34;Norm;0.02
6;No;14;Inv;-6.6
6;No;14;Norm;6.596
6;No;12;Inv;-0.049
6;No;12;Norm;0.051
4;No;54;Inv;-4.468
4;No;54;Norm;4.462
4;No;52;Inv;-8.826
4;No;52;Norm;8.829
4;No;32;Inv;-4.377
4;No;32;Norm;4.382
4;No;34;Inv;-0.1
4;No;34;Norm;0.012
4;No;14;Inv;-4.327
4;No;14;Norm;4.33
4;No;12;Inv;-0.031
4;No;12;Norm;0.035
2;No;54;Inv;-2.139
2;No;54;Norm;2.144
2;No;52;Inv;-0.013
2;No;52;Norm;0.019
2;No;32;Inv;-2.162
2;No;32;Norm;2.167
2;No;34;Inv;-0.002
2;No;34;Norm;0.008
2;No;14;Inv;-2.141
2;No;14;Norm;2.147
2;No;12;Inv;-0.015
2;No;12;Norm;0.017
8;Si;54;Inv;-9.15
8;Si;54;Norm;9.19
8;Si;52;Inv;-18.308
8;Si;52;Norm;18.28
8;Si;32;Inv;-9.098
8;Si;32;Norm;9.121
8;Si;34;Inv;-0.002
8;Si;34;Norm;0.001
8;Si;14;Inv;-9.059
8;Si;14;Norm;9.099
8;Si;12;Inv;-0.047
8;Si;12;Norm;0.041
6;Si;54;Inv;-6.721
6;Si;54;Norm;6.723
6;Si;52;Inv;-13.409
6;Si;52;Norm;13.372
6;Si;32;Inv;-6.663
6;Si;32;Norm;6.67
6;Si;34;Inv;-0.003
6;Si;34;Norm;0.001
6;Si;14;Inv;-6.622
6;Si;14;Norm;6.62
6;Si;12;Inv;-0.035
6;Si;12;Norm;0.031
4;Si;54;Inv;-4.424
4;Si;54;Norm;4.423
4;Si;52;Inv;-8.78
4;Si;52;Norm;8.79
4;Si;32;Inv;-4.36
4;Si;32;Norm;4.36
4;Si;34;Inv;0
4;Si;34;Norm;0
4;Si;14;Inv;-4.353
4;Si;14;Norm;4.35
4;Si;12;Inv;-0.021
4;Si;12;Norm;0.021
2;Si;54;Inv;-2.197
2;Si;54;Norm;2.192
2;Si;52;Inv;-4.36
2;Si;52;Norm;4.34
2;Si;32;Inv;-2.16
2;Si;32;Norm;2.163
2;Si;34;Inv;0
2;Si;34;Norm;0
2;Si;14;Inv;-2.16
2;Si;14;Norm;2.145
2;Si;12;Inv;-0.014
2;Si;12;Norm;0.011
