volt,errore_volt,ampere,errore_ampere
0,0.001,0,0.1
0.043,0.001,21.1,0.1
0.081,0.001,36.5,0.1
0.126,0.001,49,0.1
0.168,0.001,56.1,0.1
0.199,0.001,60.5,0.1
0.237,0.001,64.2,0.1
0.279,0.001,67.4,0.1
0.318,0.001,70,0.1
0.359,0.001,72.7,0.1
0.402,0.001,75.4,0.1
0.441,0.001,77.9,0.1
0.503,0.001,81.9,0.1
0.558,0.001,85.4,0.1
0.601,0.001,88.1,0.1
0.647,0.001,91.1,0.1
0.695,0.001,94,0.1
0.75,0.001,97.4,0.1
0.797,0.001,100.2,0.1
0.851,0.001,103.4,0.1
0.911,0.001,106.9,0.1
0.947,0.001,108.9,0.1
1.001,0.001,111.9,0.1
1.04,0.01,110,10
1.42,0.01,130,10
1.96,0.01,160,10
2.58,0.01,180,10
2.95,0.01,190,10
3.44,0.01,210,10
4.02,0.01,230,10
4.5,0.01,240,10
5.1,0.01,260,10
5.51,0.01,270,10
6.02,0.01,290,10
6.64,0.01,300,10
7.03,0.01,310,10
7.49,0.01,320,10
8.01,0.01,340,10
8.48,0.01,350,10
8.97,0.01,360,10
9.57,0.01,370,10
10.05,0.01,380,10
10.56,0.01,390,10
11,0.01,400,10
11.51,0.01,410,10
11.96,0.01,420,10
12.46,0.01,430,10
13.01,0.01,440,10
13.54,0.01,450,10
13.98,0.01,460,10
14.47,0.01,470,10
15,0.01,470,10
15.49,0.01,470,10
15.99,0.01,470,10
16.55,0.01,470,10
17.01,0.01,450,10
