Voltmetro(V);Ampmetro(mA);Temperature
0;0;55.5º
0.085;0;55.5º
0.248;0.002;55.5º
0.314;0.011;55.5º
0.371;0.05;55.5º
0.463;0.377;55.5º
0.502;0.826;55.5º
0.54;1.681;55.5º
0.62;8;55.5º
0.631;9.68;55.5º
0.653;15.08;55.5º
0;0;43º
0.086;0;43º
0.236;0.001;43º
0.286;0.003;43º
0.449;0.154;43º
0.529;0.829;43º
0.626;5.65;43º
0.634;6.65;43º
0.662;11.9;43º
0.664;12.34;43º
0.676;15.68;43º
0;0;37.3º
0.119;0;37.3º
0.191;0.001;37.3º
0.332;0.007;37.3º
0.449;0.12;37.3º
0.526;0.56;37.3º
0.574;1.55;37.3º
0.623;4.29;37.3º
0.64;6.06;37.3º
0.667;10.46;37.3º
0.677;13.02;37.3º
0.687;16.2;37.3º
-4.99;-0.108;29.2º
-3.99;-0.082;29.2º
-2.99;-0.054;29.2º
-2.052;-0.03;29.2º
-1.573;-0.019;29.2º
-1.047;-0.01;29.2º
-0.491;-0.003;29.2º
0;0;29.2º
0.098;0;29.2º
0.216;0.001;29.3º
0.353;0.006;29.3º
0.382;0.012;29.3º
0.476;0.124;29.3º
0.564;0.914;29.3º
0.58;1.246;29.3º
0.65;5.41;29.3º
0.679;9.95;29.3º
0.686;11.62;29.3º
0.698;15.02;29.3º
0;0;21.3º
0.111;0;21.3º
0.251;0.001;21.3º
0.322;0.002;21.3º
0.42;0.018;21.3º
0.497;0.129;21.3º
0.56;0.565;21.3º
0.645;3.56;21.3º
0.662;5.08;21.3º
0.688;8.94;21.3º
0.707;13.65;21.3º
0.718;17.43;21.3º
0;0;1.3º
0.095;0;1.3º
0.234;0;1.3º
0.347;0.001;1.3º
0.386;0.001;1.3º
0.517;0.061;1.2º
0.562;0.2;1.2º
0.628;0.974;1.2º
0.649;1.55;1.2º
0.725;8.88;1.3º
0.736;11.54;1.3º
0.745;14.24;1.3º
0.754;17.93;1.4º
0;0;azoto
0.092;0;azoto
0.242;0;azoto
0.277;0;azoto
0.382;0;azoto
0.566;0;azoto
0.67;0;azoto
0.96;0.01;azoto
1.007;0.153;azoto
1.026;0.85;azoto
1.036;1.885;azoto
1.058;10.7;azoto
1.061;12.82;azoto
1.067;18.5;azoto
