Voltmetro;Ampmetro;Color;;;Sperienza 4
0;0;Rosso;;;
1.52;0.01;Rosso;;;
1.6;0.02;Rosso;;;
1.7;0.14;Rosso;;;
1.77;0.58;Rosso;;;
1.77;0.64;Rosso;;;
1.8;1.11;Rosso;;;
1.83;1.78;Rosso;;;
1.85;2.18;Rosso;;;
1.88;2.95;Rosso;;;
1.9;3.73;Rosso;;;
1.95;5.9;Rosso;;;
1.98;6.73;Rosso;;;
2.01;8.25;Rosso;;;
2.05;10.23;Rosso;;;
2.07;11.11;Rosso;;;
2.09;12.79;Rosso;;;
2.1;13.56;Rosso;;;
2.12;14.68;Rosso;;;
2.14;15.47;Rosso;;;
2.17;18.26;Rosso;;;
2.21;20.84;Rosso;;;
2.31;0;Blue;;;
2.4;0.06;Blue;;;
2.5;0.36;Blue;;;
2.58;1.1;Blue;;;
2.62;1.72;Blue;;;
2.65;2.36;Blue;;;
2.69;3.25;Blue;;;
2.73;4.44;Blue;;;
2.77;5.55;Blue;;;
2.81;6.71;Blue;;;
2.83;7.41;Blue;;;
2.88;9.46;Blue;;;
2.93;11.35;Blue;;;
3;15.01;Blue;;;
3.1;20.03;Blue;;;
2;0;Green;;;
2.2;0.28;Green;;;
2.26;0.99;Green;;;
2.31;1.98;Green;;;
2.34;2.79;Green;;;
2.37;3.55;Green;;;
2.4;4.52;Green;;;
2.42;5.4;Green;;;
2.45;6.3;Green;;;
2.5;8.47;Green;;;
2.54;10.24;Green;;;
2.63;15.17;Green;;;
2.72;19.93;Green;;;
1.6;0;Yellow;;;
1.79;0.26;Yellow;;;
1.84;1.06;Yellow;;;
1.86;1.8;Yellow;;;
1.89;3.2;Yellow;;;
1.91;4.7;Yellow;;;
1.92;6.19;Yellow;;;
1.93;7.73;Yellow;;;
1.935;8;Yellow;;;
1.94;9.93;Yellow;;;
1.97;15.13;Yellow;;;
1.98;19.96;Yellow;;;
2.6;0;UV;;;
2.86;0.12;UV;;;
2.93;0.45;UV;;;
2.99;1.47;UV;;;
3.02;2.24;UV;;;
3.05;3.41;UV;;;
3.07;4.27;UV;;;
3.08;4.96;UV;;;
3.11;6.15;UV;;;
3.13;7.22;UV;;;
3.16;9.05;UV;;;
3.2;11.49;UV;;;
3.24;15.08;UV;;;
3.31;20.17;UV;;;
